year,doc_type,opp_per_1k,risk_per_1k,framing_ratio,n_docs
1989/90,mot,10.2900417481233,3.812855467954919,6.4771862801683815,7
1989/90,prop,7.594487230246335,2.7251278533063243,4.869359376940012,5
1990/91,prop,6.240958512622081,3.39161051003981,2.8493480025822704,5
1991/92,prop,1.6098507997300906,2.817261060052236,-1.2074102603221453,9
1992/93,prop,3.455999048989605,2.958688264206061,0.4973107847835445,10
1994/95,prop,3.5503150708247317,4.71854110480255,-1.1682260339778185,8
1995/96,prop,5.011716395897914,2.542282232707039,2.4694341631908756,6
1996/97,prop,6.019657247000342,3.1751492952873375,2.844507951713005,6
2000/01,prop,10.41258008818182,4.233493602159091,6.179086486022729,6
2001/02,prop,2.485102554267166,4.2463126126129325,-1.7612100583457664,8
2002/03,prop,2.812551168533816,4.963393905917728,-2.1508427373839125,8
2004/05,prop,3.904058537388424,3.7151156807172994,0.18894285667112468,16
2005/06,prop,3.0715823373717313,6.17309254887335,-3.101510211501619,17
2006/07,prop,3.4009931966844937,5.4550040962717725,-2.054010899587279,9
2007/08,prop,3.4488824676134464,3.7209133379179113,-0.27203087030446527,10
2008/09,prop,2.865212503443565,5.0812969524209635,-2.2160844489773988,21
2009/10,prop,2.277695196388346,4.403765186305204,-2.1260699899168585,27
2010/11,prop,4.059859599412928,5.058276837675147,-0.9984172382622191,24
2011/12,prop,3.1399613799249497,5.391045912037405,-2.2510845321124555,16
2012/13,prop,4.9586833346405905,5.906159680850637,-0.9474763462100464,17
2013/14,prop,3.4238748502788168,5.369425940894185,-1.9455510906153686,33
2014/15,prop,3.6049121115811182,5.5915331567620425,-1.986621045180924,20
2015/16,prop,3.842401308257274,5.205228667911545,-1.3628273596542708,30
2016/17,prop,4.645062615959566,6.450151111867253,-1.805088495907687,26
2017/18,prop,4.83037872180733,6.766955747415276,-1.9365770256079455,49
2018/19,mot,17.594804248118564,6.048032269229383,11.546771978889184,18
2018/19,prop,4.5685036740014615,7.090721462503979,-2.5222177885025188,27
2019/20,mot,15.106460439535805,5.271415985085923,9.835044454449882,27
2019/20,prop,4.866782905266573,5.231640320398672,-0.36485741513209907,41
2020/21,mot,12.9353533843002,6.947817434631091,5.987535949669109,48
2020/21,prop,6.0769500254622715,9.319212437258178,-3.2422624117959056,30
2021/22,mot,12.7474324397198,7.182774414955635,5.564658024764165,54
2021/22,prop,5.753014339667433,5.764929537855196,-0.011915198187762589,50
2022/23,mot,13.160302885386296,8.478432182125426,4.681870703260869,32
2022/23,prop,6.407097228087562,5.266820498766886,1.1402767293206773,37
2023/24,mot,13.84925348205039,8.52460856318513,5.32464491886526,60
2023/24,prop,7.198241295107331,6.763137564766228,0.43510373034110233,43
2024/25,mot,15.007249898832832,8.76165876992027,6.245591128912562,89
2024/25,prop,9.247731842249946,5.425426804694445,3.8223050375555006,43
2025/26,mot,15.530224758555443,9.819037229494482,5.711187529060958,98
2025/26,prop,7.336982686723728,5.830309375278716,1.5066733114450115,27
